0,Samoa,Clugas,266,William Silva
1,French Southern Territories,Diland,205,Oceanshout
2,Virgin Islands,Xamouth,160,David Moody
3,Réunion,Chiville,55,Martha Williams
4,Tokelau,Pesea,217,Judy Johnson
5,Cocos (Keeling) Islands,Kleson,166,Audrey Cohen
6,Macao,Toria,134,Kelly Thomas
7,Germany,Ylabert,142,Ronald Morrison
8,Ethiopia,Raefbert,205,Matthew Stephens
9,Northern Mariana Islands,Zoln,91,Linda Taylor
10,Uganda,Zlirie,249,Shirley Simpson
11,Netherlands,Xophis,174,Charles Ford
12,Fiji,Claton,268,Stacey Wilson
13,Belgium,Kison,71,Frances Rogers
14,Saint Martin,Antaham,267,Francis Cole
15,South Africa,Wacmore,117,Linda Lyons
16,Pitcairn,Nuving,242,Juan Owens
17,United Arab Emirates,Witon,190,Jean Henry
18,Portugal,Ordham,277,James Brown
19,Bahrain,Sraka,195,Kevin Harris
20,Lithuania,Creesrith,129,Audrey Lane
21,American Samoa,Klard,210,Margaret McGuire
22,Liberia,Ineson,218,Abosseau
23,Montserrat,Elessall,207,Esther Anderson
24,French Polynesia,Drard,214,Catherine Collier
25,Congo,Zhathe,299,Andrea Yates
26,Saint Vincent and the Grenadines,Orkland,262,Jean Lee
27,Gambia,Beport,168,Shannon Rowe
28,Jersey,Rewood,284,Ralph Pierce
29,Saudi Arabia,Rewood,135,Lori Medina
30,Sierra Leone,Phehgas,105,Patricia Reed
31,Chad,Shora,247,Sandra Vargas
32,Algeria,Olkgate,266,Rita Page
33,Monaco,Playsey,287,William Turner
34,Russian Federation,Ouverbus,122,Voidbloom
35,Gibraltar,Inassall,186,Danielle Moran
36,Ireland,Raefbert,240,Mary Perkins
37,Zimbabwe,Esaburgh,179,Francis Cole
38,Kazakhstan,Ilaford,250,Ann Miller
39,South Georgia and the South Sandwich Island,Ejaldiff,297,Jennifer Hughes
40,Iran,Kevale,160,Charlie Hanson
41,Canada,Phesa,17,Doris Burgess
42,Algeria,Onapool,176,Pamela Hughes
43,Aruba,Orok,41,Frank Bush
44,Luxembourg,Phaalbridge,118,Barbara Wong
45,Sri Lanka,Noria,50,Sharon McDonald
46,Micronesia,Illestin,238,Amanda Perez
47,Suriname,Crarc,122,Kirk Gray
48,Lithuania,Uryport,294,Ruben Dean
49,Tanzania,Baimcester,30,Joshua Gilbert
50,Uruguay,Onukpool,169,Judith Anderson
51,Afghanistan,Ansnard,26,Helen Stevens
52,Liechtenstein,Inson,66,Brent Roberts
53,Japan,Goidset,240,Pamela Anderson
54,Chile,Plord,88,Henry Martin
55,Nauru,Shading,68,Lori Campbell
56,Côte dIvoire,Wouver,134,Bruce Oliver
57,Puerto Rico,Klance,250,Dora Holland
58,Nigeria,Awreles,191,Nora Gonzalez
59,Falkland Islands (Malvinas),Ukuuchester,102,Kimberly Peterson
60,Palau,Ineson,118,Mary Lewis
61,Saint Helena,Prupus,138,Carmen Jones
62,Lithuania,Ikheah,92,John Walker
63,Bolivia,Ariodale,50,Stephanie McCoy
64,Comoros,Culedo,106,Donna Gonzalez
65,United Arab Emirates,Trord,199,Paula Hanson
66,Guyana,Astracaster,215,Lynn Reyes
67,Brazil,Asolens,239,Manuel Ballard
68,Anguilla,Xugate,257,Juan Owens
69,Estonia,Plipset,186,Ana Scott
70,Dominica,Clotin,263,Amy Harris
71,Bulgaria,Eshille,187,Chananteau
72,El Salvador,Osapool,292,Peggy Turner
73,Bangladesh,Apence,174,Roughorb
74,Tokelau,Eahhull,25,Karen Bowman
75,Mali,Preeygow,289,Michael Richardson
76,Hungary,Guoford,88,Bonnie Lewis
77,Colombia,Qront,32,James Cook
78,Macedonia,Ariomont,20,Tony Williams
79,Chad,Ekastead,165,William Rodriquez
80,Albania,Nont,269,Richard Glover
81,Tonga,Aprore,31,Penny Williams
82,Uruguay,Chirpus,63,Marie Garrett
83,Greenland,Yheley,223,Martin Snyder
84,Slovakia,Edoton,158,Carmen Jones
85,Lebanon,Norith,13,Amy Keller
86,United States Minor Outlying Islands,Sares,12,Ravenbasher
87,Luxembourg,Jurg,154,Nancy Evans
88,Suriname,Icredale,217,Tamara Miller
89,Aruba,Gagos,83,Donna Higgins
90,El Salvador,Qicginia,122,John Drake
91,French Southern Territories,Andopolis,80,Ashley Walker
92,Maldives,Shupolis,131,Evelyn Hernandez
93,Spain,Yruburgh,254,Patricia Smith
94,Malawi,Vroksea,27,Pamela Anderson
95,Israel,Olkron,128,Cynthia Lloyd
96,Uzbekistan,Brishire,17,Angela Baker
97,Guinea,Frelens,138,Paul Cain
98,Congo,Nerton,208,Donald Guerrero
99,Bosnia and Herzegovina,Xoford,259,Shawn Lucas
100,Namibia,Drido,40,Brian Webb
101,Tokelau,Proilsea,35,Joyce Banks
102,Turkey,Gredo,274,Bonnie Wagner
103,Nicaragua,Froyridge,150,Paul Schultz
104,Dominican Republic,Vaakgow,90,Dale Walker
105,Taiwan Province of China,Orebus,294,Henry Bennett
106,Lebanon,Amlas,231,Katie Singleton
107,Martinique,Kodiff,14,Martha Miller
108,Saint Vincent and the Grenadines,Padena,93,Laura Anderson
109,Georgia,Strey,15,William Anderson
110,Hungary,Duskwich,144,Ronald Roberts
111,Mayotte,Isonstead,41,Katie Singleton
112,Congo,Kilcross,231,Robert Taylor
113,Brazil,Esasall,51,Janice Carter
114,Ireland,Qrisa,185,Benjamin Gonzalez
115,Tajikistan,Sares,41,Richard Glover
116,Christmas Island,Iklukgan,189,Maria Rodriguez
117,Guinea,Bery,249,Martha Wilkins
118,Zimbabwe,Sester,219,Elizabeth McCoy
119,Trinidad and Tobago,Boufburg,248,Margaret Morgan
120,France,Shupolis,44,Vivian Murray
121,Cyprus,Flosall,155,Ann Miller
